date,link,title,content,company_name,ticker,category,source
2026-04-27 09:32:00,https://biznes.pap.pl/wiadomosci/firmy/budimex-sa-232026-projekty-uchwal-zwyczajnego-walnego-zgromadzenia-budimex-sa-za,BUDIMEX SA (23/2026) Projekty uchwał Zwyczajnego Walnego Zgromadzenia Budimex S.A. za 2025 rok,,budimex,BDX.WA,profiles,pap
2026-04-27 09:08:00,https://biznes.pap.pl/wiadomosci/firmy/budimex-sa-222026-ogloszenie-o-zwolaniu-zwyczajnego-walnego-zgromadzenia-budimex,BUDIMEX SA (22/2026) Ogłoszenie o zwołaniu Zwyczajnego Walnego Zgromadzenia Budimex S.A. za 2025 rok,,budimex,BDX.WA,profiles,pap
2026-04-24 18:32:00,https://biznes.pap.pl/wiadomosci/firmy/wse-communique-santander-bank-polska-sa-has-changed-its-name-erste-bank-polska-0,WSE: Communique - Santander Bank Polska SA has changed its name to Erste Bank Polska SA,,sanpl,SPL.WA,profiles,pap
2026-04-24 18:30:00,https://biznes.pap.pl/wiadomosci/firmy/wse-communique-santander-bank-polska-sa-has-changed-its-name-erste-bank-polska-sa,WSE: Communique - Santander Bank Polska SA has changed its name to Erste Bank Polska SA,,sanpl,SPL.WA,profiles,pap
2026-04-24 18:14:00,https://biznes.pap.pl/wiadomosci/firmy/gpw-komunikat-zmiana-firmy-santander-bank-polska-na-erste-bank-polska-0,GPW: Komunikat - zmiana firmy SANTANDER BANK POLSKA na ERSTE BANK POLSKA,,sanpl,SPL.WA,profiles,pap
2026-04-24 18:12:00,https://biznes.pap.pl/wiadomosci/firmy/gpw-komunikat-zmiana-firmy-santander-bank-polska-na-erste-bank-polska,GPW: Komunikat - zmiana firmy SANTANDER BANK POLSKA na ERSTE BANK POLSKA,,sanpl,SPL.WA,profiles,pap
2026-04-24 08:58:00,https://biznes.pap.pl/wiadomosci/firmy/santander-bank-polska-sa-282026-zmiana-firmy-santander-bank-polska-sa-na-erste-0,"SANTANDER BANK POLSKA SA (28/2026) Zmiana firmy Santander Bank Polska S.A. na Erste Bank Polska S.A., adresu siedziby i adresu strony internetowej oraz wpisanie do Krajowego Rejestru Sądowego zmian Statutu przyjętych przez Nadzwyczajne Walne Zgromadzenie",,sanpl,SPL.WA,profiles,pap
2026-04-24 08:56:00,https://biznes.pap.pl/wiadomosci/firmy/santander-bank-polska-sa-282026-zmiana-firmy-santander-bank-polska-sa-na-erste,"SANTANDER BANK POLSKA SA (28/2026) Zmiana firmy Santander Bank Polska S.A. na Erste Bank Polska S.A., adresu siedziby i adresu strony internetowej oraz wpisanie do Krajowego Rejestru Sądowego zmian Statutu przyjętych przez Nadzwyczajne Walne Zgromadzenie",,sanpl,SPL.WA,profiles,pap
2026-04-23 13:14:00,https://biznes.pap.pl/wiadomosci/firmy/kety-metals-plans-high-capacity-utilisation-market-remains-highly-volatile,Kety metals plans high capacity utilisation; market remains highly volatile,,kety,KTY.WA,profiles,pap
2026-04-23 12:39:00,https://biznes.pap.pl/wiadomosci/firmy/grupa-kety-planuje-wysokie-oblozenie-mocy-produkcyjnych-na-rynku-nadal-panuje,Grupa Kęty planuje wysokie obłożenie mocy produkcyjnych; na rynku nadal panuje wysoka zmienność,,kety,KTY.WA,profiles,pap
2026-04-22 17:28:00,https://biznes.pap.pl/wiadomosci/firmy/zysk-netto-jd-grupy-kety-w-i-kw-26-wyniosl-145-mln-zl-wczesniej-szacowano-132-mln,Zysk netto j.d. Grupy Kęty w I kw. '26 wyniósł 145 mln zł; wcześniej szacowano 132 mln zł,,kety,KTY.WA,profiles,pap
2026-04-22 17:07:00,https://biznes.pap.pl/wiadomosci/firmy/grupa-kety-sa-raport-okresowy-kwartalny-skonsolidowany-12026-qsr,GRUPA KĘTY SA Raport okresowy kwartalny skonsolidowany 1/2026 QSr,,kety,KTY.WA,profiles,pap
2026-04-24 15:31:00,https://biznes.pap.pl/wiadomosci/firmy/lumina-metals-chce-wprowadzic-akcje-do-obrotu-na-gpw-w-ciagu-najblizszych-miesiecy,Lumina Metals chce wprowadzić akcje do obrotu na GPW w ciągu najbliższych miesięcy (wywiad),,kghm,KGH.WA,profiles,pap
2026-04-23 16:04:00,https://biznes.pap.pl/wiadomosci/firmy/sprzedaz-miedzi-przez-grupe-kghm-wyniosla-w-marcu-702-tys-ton-i-byla-wyzsza-o-8,"Sprzedaż miedzi przez grupę KGHM wyniosła w marcu 70,2 tys. ton i była wyższa o 8 proc. rdr",,kghm,KGH.WA,profiles,pap
2026-04-23 15:57:00,https://biznes.pap.pl/wiadomosci/firmy/kghm-group-copper-sales-702k-tonnes-march-8-pct-yy-prelims,"KGHM group copper sales at 70.2k tonnes in March, up 8 pct y/y - prelims",,kghm,KGH.WA,profiles,pap
2026-04-23 15:47:00,https://biznes.pap.pl/wiadomosci/firmy/kghm-polska-miedz-sa-152026-wstepne-wyniki-produkcyjne-i-sprzedazowe-grupy-kghm,KGHM POLSKA MIEDŹ SA (15/2026) Wstępne wyniki produkcyjne i sprzedażowe Grupy KGHM Polska Miedź S.A. za marzec 2026 r.,,kghm,KGH.WA,profiles,pap
2026-04-22 17:17:00,https://biznes.pap.pl/wiadomosci/firmy/kghm-copper-may-consider-new-products-cooperation-polish-scientists-and-partners,KGHM copper may consider new products in cooperation with Polish scientists and partners,,kghm,KGH.WA,profiles,pap
2026-04-22 17:05:00,https://biznes.pap.pl/wiadomosci/firmy/kghm-moze-rozwazyc-nowe-produkty-we-wspolpracy-z-partnerami-w-tym-polska-nauka,"KGHM może rozważyć nowe produkty we współpracy z partnerami, w tym polską nauką - prezes",,kghm,KGH.WA,profiles,pap
2026-04-22 13:18:00,https://biznes.pap.pl/wiadomosci/firmy/lpp-sa-102026-oswiadczenie-kdpw-w-sprawie-rejestracji-akcji-serii-n,LPP SA (10/2026) Oświadczenie KDPW w sprawie rejestracji akcji serii N,,lpp,LPP.WA,profiles,pap
2026-04-23 16:58:00,https://biznes.pap.pl/wiadomosci/firmy/orlen-sa-142026-zmiana-terminu-publikacji-raportu-okresowego-za-1-kwartal-2026,ORLEN SA (14/2026) Zmiana terminu publikacji raportu okresowego za 1 kwartał 2026 roku,,pknorlen,PKN.WA,profiles,pap
2026-04-22 14:01:00,https://biznes.pap.pl/wiadomosci/gospodarka/zalozenia-tzw-windfall-tax-powinny-byc-gotowe-do-konca-kwietnia-domanski,Założenia tzw. windfall tax powinny być gotowe do końca kwietnia - Domański,,pknorlen,PKN.WA,profiles,pap
2026-04-23 16:31:00,https://biznes.pap.pl/wiadomosci/firmy/pko-bp-lender-wants-pay-dividend-pln-614-share-2025-profit,PKO BP lender wants to pay dividend of PLN 6.14 per share from 2025 profit,,pkobp,PKO.WA,profiles,pap
2026-04-23 16:28:00,https://biznes.pap.pl/wiadomosci/firmy/zarzad-pko-bp-rekomenduje-wyplate-614-zl-dywidendy-na-akcje-z-zysku-za-2025-r,"Zarząd PKO BP rekomenduje wypłatę 6,14 zł dywidendy na akcję z zysku za 2025 r.",,pkobp,PKO.WA,profiles,pap
2026-04-23 16:12:00,https://biznes.pap.pl/wiadomosci/firmy/pko-bp-sa-132026-rekomendacja-zarzadu-pko-banku-polskiego-sa-w-zakresie-podzialu,PKO BP SA (13/2026) Rekomendacja Zarządu PKO Banku Polskiego S.A. w zakresie podziału zysku za 2025 rok i pozostawienia niepodzielonego zysku z lat poprzednich zyskiem niepodzielonym,,pkobp,PKO.WA,profiles,pap
2026-04-23 10:20:00,https://biznes.pap.pl/wiadomosci/firmy/moodys-affirms-pko-bps-mortgage-units-a3-rating-outlook-changed-negative,"Moody's affirms PKO BP's mortgage unit's A3 rating, outlook changed to negative",,pkobp,PKO.WA,profiles,pap
2026-04-23 12:57:00,https://biznes.pap.pl/wiadomosci/gry-i-technologie/orange-pl-telco-targets-upper-end-its-ebitdaal-forecast-2026,Orange PL telco targets upper end of its EBITDAaL forecast for 2026,,orangepl,OPL.WA,profiles,pap
2026-04-23 12:33:00,https://biznes.pap.pl/wiadomosci/gry-i-technologie/orange-polska-celuje-w-gorny-przedzial-prognozy-ebitdaal-na-2026-rok,Orange Polska celuje w górny przedział prognozy EBITDAaL na 2026 rok,,orangepl,OPL.WA,profiles,pap
2026-04-22 18:28:00,https://biznes.pap.pl/wiadomosci/firmy/orange-polska-mialo-w-i-kw-913-mln-zl-ebitdaal-wobec-8796-mln-zl-konsensusu,"Orange Polska miało w I kw. 913 mln zł EBITDAaL wobec 879,6 mln zł konsensusu",,orangepl,OPL.WA,profiles,pap
2026-04-22 18:14:00,https://biznes.pap.pl/wiadomosci/firmy/orange-pl-telxo-confirms-low-single-digit-revenue-growth-3-5-pct-growth-ebitdaal,"Orange PL telxo confirms low single-digit revenue growth, 3-5 pct growth in EBITDAaL in 2026",,orangepl,OPL.WA,profiles,pap
2026-04-22 18:06:00,https://biznes.pap.pl/wiadomosci/firmy/orange-polska-podtrzymalo-niski-jednocyfrowy-wzrost-przychodow-3-5-proc-wzrost,"Orange Polska podtrzymało niski jednocyfrowy wzrost przychodów, 3-5 proc. wzrost EBITDAaL w '26",,orangepl,OPL.WA,profiles,pap
